Livestock,AB,BC,MB,NB,NL,NS,ON,PE,QC,SK
Dairy Cattle,0.018393803,0.022542363,0.007594155,0.004198379,0.002106306,0.005273793,0.157887488,0.002884953,0.200581724,0.00329833
Beef Cattle,0.178183217,0.017220358,0.019411953,0.002766269,0.000613925,0.003039165,0.131476773,0.002465782,0.097531064,0.048796001
Buffalo,0.002012726,0.000200003,0.000449327,0,0,0,0.000236357,0,0.000192011,0.001011756
Sheep and Lamb,0,8.08E-05,0.000214016,2.52E-05,7.32E-06,0.000122036,0.001759611,4.33E-05,0.00222319,0.000174576
Goats,0.000126768,0.000112253,4.32E-05,1.02E-05,8.71E-07,2.37E-05,0.002282382,2.68E-06,0.001646551,5.24E-05
Camels and Llamas,0,1.87E-05,1.01E-05,2.09E-06,3.96E-07,5.97E-06,0.000144028,3.69E-06,0.000120742,2.13E-05
Horses,0.0010804,0.002496535,0.000760617,8.51E-05,6.93E-06,0.000143743,0.005379812,7.41E-05,0.002628601,0.000848297
Mules and Asses,1.27E-05,2.45E-05,1.62E-05,0,7.68E-08,0,0.000105888,1.09E-06,3.43E-05,1.18E-05
Swine,0.023603822,0.0011861,0.056460358,0.000519551,6.53E-05,0.000852354,0.112275845,0.000662658,0.202352509,0.007850051
Poultry,0.00664076,0.013528332,0.00773779,0.00166276,0.000898435,0.00316809,0.0659412,0.000284488,0.061195518,0.001312869
Deer,8.55E-06,3.21E-06,7.16E-07,0,0,0,6.33E-05,0,0.000222627,9.38E-06
Elk,8.55E-06,3.21E-06,7.16E-07,0,0,0,6.33E-05,0,0.000222627,9.38E-06
Wild boars,6.63E-06,2.84E-06,8.65E-06,0,0,0,1.72E-05,0,6.30E-05,1.52E-05
Rabbit,3.96E-06,6.06E-06,2.56E-06,1.03E-06,2.04E-08,7.43E-07,0.000186761,2.02E-07,0.000180718,6.87E-07
Mink,0,0.000482566,6.79E-05,2.91E-05,0.000238764,0.000644802,0.000941418,9.95E-05,0.000134987,0
Fox,0,0,0,5.28E-06,8.78E-06,2.67E-06,5.02E-06,6.15E-06,4.87E-06,0
