"","BC","AB","SK","MB","ON","QC","NB","NS","PE","NL","Total"
"Study freq",11,41,1,16,39,38,3,6,1,1,177
"Beef Cattle",9.1,51.2,100,37.5,12.8,0,0,16.7,0,0,22
"Dairy Cattle",45.5,34.1,0,18.8,59,47.4,33.3,16.7,0,100,40.7
"Swine",0,7.3,0,43.8,17.9,44.7,33.3,66.7,100,0,24.3
"Poultry",27.3,2.4,0,0,5.1,5.3,33.3,0,0,0,6.8
"Horses",18.2,0,0,0,0,2.6,0,0,0,0,2.8
"Sheep and Lamb",0,4.9,0,0,5.1,0,0,0,0,0,3.4
"Other",0,0,0,0,0,0,0,0,0,0,0
"Beef Cattle1",29.8,77.4,77.8,20.7,27.5,17.2,30,23.1,33.3,25,32.9
"Dairy Cattle1",40.4,7.8,4.8,8.7,33.1,35.3,40,38.5,50,50,27.9
"Swine1",1.8,10.4,12.7,60.9,23.5,35.5,10,7.7,16.7,0,26.7
"Poultry1",24.6,3,1.6,8.7,13.8,10.7,20,23.1,0,25,10.7
"Horses1",3.5,0.4,1.6,1.1,1,0.5,0,0,0,0,0.9
"Sheep and Lamb1",0,0,0,0,0.4,0.4,0,0,0,0,0.3
"Other1",0,0.9,1.6,0,0.6,0.4,0,7.7,0,0,0.6
"pvalue",0.896,1,0.055,0.69,0.608,0.607,1,0.505,0.424,0.423,1
