"","BC","AB","SK","MB","ON","QC","NB","NS","PE","NL"
"Beef Cattle",3.8,57.7,3.8,11.5,19.2,0,0,3.8,0,0
"Dairy Cattle",7.1,21.4,0,5.4,33.9,26.8,1.8,1.8,0,1.8
"Swine",0,8.8,0,20.6,20.6,35.3,0,11.8,2.9,0
"Poultry",37.5,12.5,0,0,25,25,0,0,0,0
"Horses",66.7,0,0,0,0,33.3,0,0,0,0
"Sheep and Lamb",0,50,0,0,50,0,0,0,0,0
"Other",0,0,0,0,0,0,0,0,0,0
"Total",7.6,25.2,0.8,9.9,26.7,22.9,0.8,4.6,0.8,0.8
"Beef Cattle1",3.4,35.5,9.7,3.9,26.2,19.4,0.6,0.6,0.5,0.1
"Dairy Cattle1",5.3,4.3,0.8,1.8,37.2,47.2,1,1.2,0.7,0.5
"Swine1",0.3,5.8,1.9,13.9,27.7,49.8,0.1,0.2,0.2,0
"Poultry1",8.3,4.1,0.8,4.7,40.6,37.7,1,2,0.2,0.6
"Horses1",18.5,8.1,5.9,5.9,40,19.3,0.7,0.7,0.7,0
"Sheep and Lamb1",2.2,0,4.3,4.3,39.1,47.8,0,2.2,0,0
"Other1",6.6,17.4,9.1,4.1,33.1,22.3,0,5,0.8,1.7
"Total1",3.8,15.1,4.2,6.1,31.4,37.3,0.6,0.9,0.4,0.3
"Study freq",8,30,2,12,28,25,1,5,1,1
